PRENDA,TIPO ,PRECIO,VENTAS_MES,VENTAS_SEMESTRALES
Playera basica,casual,250,45,260
Jeans,casual,650,30,180
Sudadera basica,casual,480,22,130
Vestido floral,dama,890,15,85
Camisa blanca,formal,540,18,110
Pantalon de vestir,formal,720,12,70
Falda media,dama,650,10,58
Blusa de lino,dama,520,14,75
Chamarra de mezclilla,casual,980,9,55
Sueter de lana,invierno,750,8,50
Abrigo largo,invierno,1500,6,40
Short deportivo,deportivo,350,20,120
Playera deportiva,deportivo,420,25,140
pants deportivos,deportivo,390,28,160
Sudadera deportiva,deportivo,560,18,100
Chaleco,invierno,870,7,42
Pantalon cargo,casual,680,13,72
Camisa floral,casual,290,35,210
Bufanda,invierno,250,15,88
Guantes de cuero,invierno,430,9,54
Blazer ,formal,980,8,46
Vestido de noche,dama,1250,5,30
Gorra basica,accesorio,180,40,240
Cinturon de cuero,accesorio,260,18,105
Calcetines,accesorio,90,60,320
Tenis deportivos,calzado,1350,10,65
Botas de invierno,calzado,980,6,38
Sandalias,calzado,480,15,90
Chamarra impermeable,invierno,1150,5,32
Gorro de lana,invierno,220,20,115
