Nombre,Tipo,Precio,VentasMes,VentasSemestre
Calcetines,accesorio,90,60,320
Playerabasica,casual,250,45,260
Gorrabasica,accesorio,180,40,240
Camisafloral,casual,290,35,210
Pantalonessss,casual,650,30,180
pantsdeportivos,deportivo,390,28,160
Playeradeportiva,deportivo,420,25,140
Sudaderabasica,casual,480,22,130
Shortdeportivo,deportivo,350,20,120
Gorrodelana,invierno,220,20,115
Cinturondecuero,accesorio,260,18,105
Camisablanca,formal,540,18,110
Sudaderadeportiva,deportivo,560,18,100
Sandalias,calzado,480,15,90
Vestidofloral,dama,890,15,85
Bufanda,invierno,250,15,88
Blusadelino,dama,520,14,75
Pantaloncargo,casual,680,13,72
Pantalondevestir,formal,720,12,70
Faldamedia,dama,650,10,58
Tenisdeportivos,calzado,1350,10,65
,Sueterrosa,500,10,20
Chamarrademezclilla,casual,980,9,55
Guantesdecuero,invierno,430,9,54
Blazer,formal,980,8,46
Sueterdelana,invierno,750,8,50
Chaleco,invierno,870,7,42
Abrigoooo,invierno,1500,6,40
Botasdeinvierno,calzado,980,6,38
Vestidodenoche,dama,1250,5,30
Chamarraimpermeable,invierno,1150,5,32
