Nombre,Tipo,Precio,VentasMes,VentasSemestre
Chamarraimpermeable,invierno,1150,5,32
Vestidodenoche,dama,1250,5,30
Botasdeinvierno,calzado,980,6,38
Abrigoooo,invierno,1500,6,40
Chaleco,invierno,870,7,42
Sueterdelana,invierno,750,8,50
Blazer,formal,980,8,46
Guantesdecuero,invierno,430,9,54
Chamarrademezclilla,casual,980,9,55
Tenisdeportivos,calzado,1350,10,65
Faldamedia,dama,650,10,58
Pantalondevestir,formal,720,12,70
Pantaloncargo,casual,680,13,72
linoooo,dama,520,14,75
Bufanda,invierno,250,15,88
Vestidofloral,dama,890,15,85
Sandalias,calzado,480,15,90
Sudaderadeportiva,deportivo,560,18,100
Camisablanca,formal,540,18,110
Cinturondecuero,accesorio,260,18,105
Gorrodelana,invierno,220,20,115
Shortdeportivo,deportivo,350,20,120
Sudaderabasica,casual,480,22,130
Playeradeportiva,deportivo,420,25,140
pantsdeportivos,deportivo,390,28,160
Pantalonessss,casual,650,30,180
Camisafloral,casual,290,35,210
Gorrabasica,accesorio,180,40,240
Playerabasica,casual,250,45,260
Calcetines,accesorio,90,60,320
